step,time_s,file,mean_speed_mm_per_s,max_speed_mm_per_s,p95_speed_mm_per_s,relative_L2_one_step_percent,max_difference_one_step_mm_per_s,relative_L2_lag_percent,max_difference_lag_mm_per_s,section_point_count,section_mean_speed_mm_per_s,section_max_speed_mm_per_s,section_relative_L2_one_step_percent,section_relative_L2_lag_percent,section_max_difference_lag_mm_per_s
1,0.125,solution_000001.vtu,4.317610359399149,14.568770155305417,11.227493023628197,nan,nan,nan,nan,494,3.0798662583848824,5.199689511974239,nan,nan,nan
2,0.25,solution_000002.vtu,3.8980509014180575,14.20048487269418,11.60170827042056,15.975984161271978,3.0209712464343688,nan,nan,494,2.880350748282832,5.579205174089734,13.335005714337434,nan,nan
3,0.375,solution_000003.vtu,3.7048562490643984,14.325407909336736,11.590086003668258,8.423892689278683,1.4800872781128098,nan,nan,494,2.780618629100497,5.8654072333025775,7.236424915769283,nan,nan
4,0.5,solution_000004.vtu,3.595129414676043,14.62309846310814,11.59335456042588,5.59539212913705,1.2096029633786485,nan,nan,494,2.7183274860226696,6.080326413781397,5.074685259161596,nan,nan
5,0.625,solution_000005.vtu,3.5261431885048933,14.750021908157448,11.680438221737568,4.279963727643226,1.0522519523301614,nan,nan,494,2.6748996596297148,6.323961859729531,4.149384223049628,nan,nan
6,0.75,solution_000006.vtu,3.480318425912049,15.06669601631084,11.723837132058987,3.5625319228338523,0.906083457160609,nan,nan,494,2.6420655729002114,6.525586095679815,3.771110855471077,nan,nan
7,0.875,solution_000007.vtu,3.449226261422713,15.431440971612076,11.802073653613615,3.1201541297771387,0.8230276057110417,nan,nan,494,2.6155063212075436,6.778001535791944,3.7271705182336228,nan,nan
8,1.0,solution_000008.vtu,3.4283276449790323,15.90540133712409,11.943707206900411,2.8216982707177136,0.8077931876745312,nan,nan,494,2.5928468776876414,7.089111505462809,3.91087203582415,nan,nan
9,1.125,solution_000009.vtu,3.4148794200559585,16.31855166930589,12.00270133740874,2.6058748433407115,0.804169569057206,41.38771384560057,6.7902748256084156,494,2.5728486692180366,7.414956251519376,4.2301063789576006,40.00041743767624,2.6768109867866303
10,1.25,solution_000010.vtu,3.406981812272169,16.699987380850697,12.113319750912783,2.4391278765446263,0.7762571053191056,29.669007970911963,6.197425951984861,494,2.554990864891653,7.752261642730975,4.595240766763594,33.314018995598296,2.6272548225375463
