case,r midpoint [mm],r min [mm],r max [mm],local median [%],local p95 [%],U95-normalized median [%],absolute median [mm/s],area above 10% [%]
Re=10,1.25,0.0,2.5,4.819799178616847,7.07978760115455,4.392935272712242,0.033678461940988946,0.0
Re=10,3.0,2.5,3.5,4.519068454173251,7.4892343239724815,2.924265143849992,0.02241889448366645,0.0
Re=10,3.75,3.5,4.0,2.280288275283045,5.84505072122137,1.0873209693886448,0.00833595207119575,0.23440684875662454
Re=10,4.125,4.0,4.25,8.44164485554451,14.020067958787493,3.105069868373572,0.02380503487855075,33.59244863964464
Re=10,4.375,4.25,4.5,15.738556017222594,21.429774023353396,4.655905981281107,0.03569452829533415,95.7392825896763
Re=10,4.625,4.5,4.75,11.160735718686054,19.470381827005145,1.9320197383385804,0.014811839735280649,59.63060686015831
Re=10,4.88,4.75,5.01,11.483312150625794,48.20383137208568,0.8463938125649729,0.0064888827250938,54.36792534347188
Re=100,1.25,0.0,2.5,16.57116641925826,26.386727417350777,7.765213452354782,0.6276573217743333,77.19550204730184
Re=100,3.0,2.5,3.5,11.063992224217516,31.97767623335973,4.158119768364202,0.3360982068866308,52.85596026490066
Re=100,3.75,3.5,4.0,17.144794540823927,40.546613877114375,3.9208489378451303,0.3169197548154116,64.39054219323278
Re=100,4.125,4.0,4.25,26.46512194295851,46.32810069132933,5.450440504673056,0.44055567958869474,86.87766055894873
Re=100,4.375,4.25,4.5,33.020530335696535,49.06187586974363,6.546434723855706,0.5291442033315582,99.09886264216972
Re=100,4.625,4.5,4.75,28.209385670414797,41.317988724648444,3.3344025340195564,0.26951766066206584,99.59597625329816
Re=100,4.88,4.75,5.01,18.92069840081509,55.43241896274152,1.2543116465438682,0.1013852218706671,85.11189838417005
